cnpj;razao_social;cod_scp;dt_ini;dt_fin;forma_trib;forma_apur;qualif_pj;sit_especial;cnae;cod_nat;horario_eleitoral_deducao_lalur;prouni_universidade_para_todos;sudam_sudene_isencao_proj_ind_agric;sudam_sudene_isencao_proj_tec_dig;sudam_sudene_red_escal_setor_prior_proj_ind_agric;finor;finam;pronac_deducao_ir;pat_deducao_ir;atividade_audiov_deducao_ir;fundos_direitos_crianca_adolescente;fundos_idoso;incentivo_desporto;pronon_deducao_ir;pronas_pcd_deducao_ir;empresa_cidada_deducao_ir;rota_2030_deducao_ir;prouni_deducao_csll;rota_2030_deducao_csll;f0000_ano
24.549.037/0001-31;ALPES DISTRIBUIDORA DE ALIMENTOS LTDA;0;01/01/2021;31/12/2021;LUCRO REAL;ANUAL;PJ EM GERAL;NORMAL (SEM OCORRENCIA DE SITUACAO ESPECIAL OU EVENTO);4637199;2062;0;;;;;;;0;0;0;849,38;849,38;0;0;0;0;0;0;0;2021
05.952.347/0001-58;INDUSTRIA E DISTRIBUIDORA DE ALIMENTOS SANTA MARIA LTDA;0;01/01/2015;31/12/2015;LUCRO REAL;ANUAL;PJ EM GERAL;NORMAL (SEM OCORRENCIA DE SITUACAO ESPECIAL OU EVENTO);1052000;2062;0;0;0;0;0;;;0;0;0;0;0;0;0;0;0;;0;;2015
36.248.734/0001-31;ZERO SUMMIT EVENTOS LTDA.;0;01/01/2023;31/12/2023;LUCRO PRESUMIDO;TRIMESTRAL;PJ EM GERAL;NORMAL (SEM OCORRENCIA DE SITUACAO ESPECIAL OU EVENTO);8230001;2062;;;;;;;;;;;;;;;;;;;;2023
10.931.741/0001-40;FAST ARIAM EQUIPAMENTOS LTDA;0;01/01/2023;31/12/2023;LUCRO REAL;TRIMESTRAL;PJ EM GERAL;NORMAL (SEM OCORRENCIA DE SITUACAO ESPECIAL OU EVENTO);2823200;2062;0;;;;;;;80000;625406,27;0;0;0;0;0;0;0;0;0;0;2023
30.422.558/0001-26;BIG LAND ENTRETENIMENTO E GESTAO LTDA;0;01/01/2024;31/12/2024;LUCRO PRESUMIDO;TRIMESTRAL;PJ EM GERAL;NORMAL (SEM OCORRENCIA DE SITUACAO ESPECIAL OU EVENTO);9321200;2062;;;;;;;;;;;;;;;;;;;;2024
06.044.698/0008-08;SADA BIO-ENERGIA E AGRICULTURA LTDA;0;01/01/2022;26/12/2022;LUCRO REAL;ANUAL;PJ EM GERAL;CISAO PARCIAL;1931400;2062;0;0;0;0;0;;;268275,42;75066,78;0;67068,85;67068,85;67068,85;0;0;0;0;0;0;2022
03.992.466/0001-09;LH AGROPASTORIL, ADMINISTRACAO E PARTICIPACOES LTDA;0;01/01/2017;31/12/2017;LUCRO REAL;ANUAL;PJ EM GERAL;NORMAL (SEM OCORRENCIA DE SITUACAO ESPECIAL OU EVENTO);6810202;2062;0;;;;;;;15597,34;0;0;3899,33;3899,33;3899,33;0;0;0;;0;;2017
21.996.340/0001-94;VILLA AMAZONIA HOTELARIA LTDA;0;01/01/2024;31/12/2024;LUCRO PRESUMIDO;TRIMESTRAL;PJ EM GERAL;NORMAL (SEM OCORRENCIA DE SITUACAO ESPECIAL OU EVENTO);5510801;2062;;;;;;;;;;;;;;;;;;;;2024
78.994.456/0001-01;CALWER MINERACAO LTDA;0;01/01/2024;31/12/2024;LUCRO REAL;ANUAL;PJ EM GERAL;NORMAL (SEM OCORRENCIA DE SITUACAO ESPECIAL OU EVENTO);891600;2062;0;;;;;;;0;45926,91;0;0;0;0;0;0;0;0;0;0;2024
86.835.741/0001-08;OCULAR LASER SOCIEDADE LTDA;0;01/01/2019;31/12/2019;LUCRO REAL;TRIMESTRAL;PJ EM GERAL;NORMAL (SEM OCORRENCIA DE SITUACAO ESPECIAL OU EVENTO);8640299;2240;0;;;;;;;0;209,14;0;0;0;0;0;0;0;0;0;0;2019
